customer_id,tenure_months,monthly_spend,support_tickets,satisfaction_score,active_discount,churned
CUST-0001,37,131.97,0,3,0,0
CUST-0002,31,115.32,0,6,0,0
CUST-0003,54,93.17,5,4,1,1
CUST-0004,16,132.32,0,10,0,0
CUST-0005,59,93.17,1,5,0,1
CUST-0006,56,104.84,1,10,0,0
CUST-0007,11,71.1,2,7,0,0
CUST-0008,10,82.0,3,1,0,1
CUST-0009,32,59.08,3,3,0,1
CUST-0010,3,109.69,2,8,1,0
CUST-0011,18,44.65,1,6,0,0
CUST-0012,26,103.47,0,4,1,0
CUST-0013,58,74.28,2,6,0,0
CUST-0014,59,115.14,2,10,0,0
CUST-0015,9,102.53,0,4,1,0
CUST-0016,53,134.62,4,1,0,0
CUST-0017,6,101.92,2,4,0,1
CUST-0018,45,32.84,1,10,1,0
CUST-0019,50,77.99,0,8,1,0
CUST-0020,53,44.84,0,9,0,0
CUST-0021,14,64.45,2,10,0,0
CUST-0022,53,125.34,3,2,0,0
CUST-0023,7,99.13,2,3,1,0
CUST-0024,31,59.03,2,1,0,0
CUST-0025,28,49.59,3,1,0,1
CUST-0026,19,80.98,1,9,0,0
CUST-0027,2,43.5,0,10,0,0
CUST-0028,46,59.87,2,2,0,0
CUST-0029,20,89.36,3,8,0,0
CUST-0030,40,114.66,5,6,0,0
CUST-0031,25,98.26,1,1,0,0
CUST-0032,23,11.26,3,10,0,0
CUST-0033,53,89.13,0,9,0,0
CUST-0034,6,82.16,1,6,0,0
CUST-0035,44,92.42,0,8,1,0
CUST-0036,45,128.49,1,4,1,0
CUST-0037,23,18.1,2,8,0,0
CUST-0038,16,62.27,0,5,0,0
CUST-0039,1,97.73,0,10,0,0
CUST-0040,56,32.55,1,1,0,0
CUST-0041,56,124.28,1,2,0,0
CUST-0042,15,91.05,1,10,0,0
CUST-0043,2,105.4,1,3,1,0
CUST-0044,8,62.87,0,4,1,0
CUST-0045,4,104.41,1,8,0,0
CUST-0046,50,112.05,2,2,0,0
CUST-0047,53,86.99,3,6,0,0
CUST-0048,10,87.03,1,3,0,0
CUST-0049,45,88.11,2,2,0,0
CUST-0050,11,54.1,2,10,0,0
CUST-0051,22,75.57,2,2,0,1
CUST-0052,36,75.42,0,1,1,0
CUST-0053,43,91.5,0,7,0,0
CUST-0054,52,109.99,1,9,0,0
CUST-0055,3,48.24,0,2,0,1
CUST-0056,12,76.25,0,8,0,0
CUST-0057,17,124.44,0,6,1,0
CUST-0058,19,57.69,1,9,1,0
CUST-0059,59,55.33,3,2,1,0
CUST-0060,46,86.07,2,10,1,0
