month_index,month_of_year,marketing_spend,price_index,promo_flag,demand_units
1,1,2122.0,96.7,0,599
2,2,1584.0,101.2,0,534
3,3,2300.0,100.6,1,653
4,4,2376.0,101.1,0,651
5,5,1220.0,104.4,1,657
6,6,1479.0,101.1,0,639
7,7,2051.0,103.4,0,699
8,8,1874.0,100.3,0,666
9,9,1993.0,101.4,0,620
10,10,1659.0,103.2,0,623
11,11,2352.0,92.7,0,700
12,12,2311.0,98.4,1,724
13,1,2026.0,97.6,1,709
14,2,2451.0,96.8,0,744
15,3,2187.0,98.6,0,712
16,4,1656.0,107.5,0,667
17,5,2148.0,95.7,0,732
18,6,1616.0,104.8,0,740
19,7,2351.0,91.6,0,792
20,8,1980.0,98.3,0,746
21,9,1926.0,100.8,0,708
22,10,1728.0,102.9,0,717
23,11,2489.0,103.6,1,796
24,12,1938.0,104.0,0,712
25,1,1829.0,98.3,0,691
26,2,1859.0,97.7,1,740
27,3,2213.0,104.3,0,726
28,4,2146.0,99.0,0,799
29,5,2165.0,93.6,1,887
30,6,2172.0,94.3,0,901
31,7,2857.0,95.4,0,897
32,8,1837.0,102.5,0,826
33,9,1795.0,100.7,0,776
34,10,1674.0,103.5,0,764
35,11,2246.0,97.9,0,797
36,12,2452.0,100.8,0,802
37,1,1954.0,103.1,1,836
38,2,1664.0,98.5,0,769
39,3,1670.0,102.3,1,862
40,4,2260.0,96.7,0,875
41,5,2297.0,98.2,0,937
42,6,2217.0,98.1,1,971
