Month_Index,Month_Label,Enrollments,Revenue,Website_Visitors,Marketing_Spend,Social_Engagement,Lead_Conversion_Rate
1,2024-09,142,17040.0,4520,1500.0,850,3.14
2,2024-10,155,18600.0,4890,1500.0,920,3.17
3,2024-11,151,18120.0,4710,1500.0,890,3.21
4,2024-12,168,20160.0,5120,1600.0,980,3.28
5,2025-01,172,20640.0,5300,1600.0,1010,3.25
6,2025-02,180,21600.0,5420,1600.0,1040,3.32
7,2025-03,195,23400.0,5980,1800.0,1150,3.26
8,2025-04,188,22560.0,5800,1800.0,1100,3.24
9,2025-05,202,24240.0,6150,1800.0,1180,3.28
10,2025-06,215,25800.0,6490,2000.0,1250,3.31
11,2025-07,220,26400.0,6600,2000.0,1270,3.33
12,2025-08,212,25440.0,6380,2000.0,1220,3.32
13,2025-09,232,27840.0,6920,2100.0,1330,3.35
14,2025-10,245,29400.0,7350,2100.0,1410,3.33
15,2025-11,238,28560.0,7100,2100.0,1360,3.35
16,2025-12,255,30600.0,7680,2200.0,1470,3.32
17,2026-01,262,31440.0,7850,2200.0,1510,3.34
18,2026-02,270,32400.0,8090,2200.0,1560,3.34
19,2026-03,288,34560.0,8640,2500.0,1670,3.33
20,2026-04,281,33720.0,8400,2500.0,1620,3.35
21,2026-05,295,35400.0,8850,2500.0,1710,3.33
22,2026-06,308,36960.0,9240,2500.0,1780,3.33
23,2026-07,318,38160.0,9510,2500.0,1840,3.34
24,2026-08,310,37200.0,9300,2500.0,1800,3.33
