Date,Sessions,Orders,Revenue,Refunds,Marketing_Spend,New_Customers,Returning_Customers,Sessions_Organic_Search,Sessions_Paid_Social,Sessions_Email,Sessions_Direct,Sessions_Marketplace
2026-03-02,2045,45,265186.33,6956.14,41822.91,27,18,682,401,307,407,247
2026-03-03,2299,53,306484.11,7651.71,44437.26,32,21,781,459,338,419,302
2026-03-04,2221,57,340367.26,14188.66,44423.36,36,21,765,450,296,424,286
2026-03-05,2325,53,312341.88,12668.01,44425.06,31,22,782,460,356,442,285
2026-03-06,2842,65,386020.28,11647.77,46438.31,42,23,983,578,390,553,337
2026-03-07,3204,72,425981.92,15058.34,43848.56,48,24,1094,643,439,623,405
2026-03-08,2399,57,328410.43,9751.41,41778.35,34,23,812,478,359,437,313
2026-03-09,2323,50,296414.83,9809.23,44270.56,30,20,795,468,312,459,290
2026-03-10,2340,47,275823.72,11496.39,45601.67,30,17,805,474,340,439,283
2026-03-11,2667,56,323380.02,9337.06,46139.09,34,22,906,533,377,510,341
2026-03-12,2189,52,299954.49,10950.71,43474.76,31,21,755,444,291,386,312
2026-03-13,3105,66,386542.51,8695.38,44963.64,39,27,1080,635,420,576,393
2026-03-14,2920,68,398281.19,13867.02,42817.9,43,25,967,569,409,576,398
2026-03-15,2830,67,393850.96,11954.08,40061.01,42,25,962,566,398,538,367
2026-03-16,2413,58,341926.38,10378.53,44531.46,35,23,840,494,317,469,293
2026-03-17,2423,58,332998.84,10900.47,45757.11,38,20,817,481,320,480,326
2026-03-18,2325,56,320819.06,6543.39,38680.46,35,21,808,475,307,414,321
2026-03-19,2318,57,326568.55,8330.32,42056.71,33,24,801,471,328,437,281
2026-03-20,2888,67,392687.29,12167.55,44843.19,40,27,973,572,414,545,384
2026-03-21,3264,74,427633.4,17068.45,46948.81,44,30,1115,656,458,635,400
2026-03-22,2637,60,346279.01,10201.78,43628.91,35,25,918,540,351,479,348
2026-03-23,2171,46,262632.56,6250.35,39141.0,29,17,747,439,308,406,270
2026-03-24,2697,68,390032.49,13417.36,46538.49,45,23,895,526,379,523,374
2026-03-25,2644,65,379690.71,14210.13,45870.48,39,26,905,532,378,459,369
2026-03-26,2688,65,378061.87,14386.88,44811.12,37,28,916,539,355,516,362
2026-03-27,3160,76,429850.29,18472.05,41698.44,43,33,1064,626,461,588,421
